LTE,314,30,1,68445885,-1,-77.3997,36.9576,53896,46,1,1701507819,1740278431,0
LTE,314,280,13,61698,-1,-123.1182,38.4494,911,30,1,1700943415,1739314573,0
LTE,314,280,13,61697,-1,-123.1168,38.4483,1000,17,1,1707831594,1739323385,0
LTE,314,30,1,138403798,-1,-77.8125,36.8827,32691,7,1,1728667071,1741133294,0
LTE,314,30,1,139755352,-1,-78.4114,37.3061,13222,51,1,1731171031,1749954473,0
LTE,314,330,1,2710288,-1,-77.5664,39.0716,8710,51,1,1734953946,1734991106,0
LTE,314,350,25868,88084502,0,-94.3177,38.2558,1000,1,1,1735569376,1735569376,0
LTE,314,330,1,2711304,-1,-80.1766,25.7777,1000,2,1,1740306671,1740964508,0
LTE,314,480,1,26121,-1,-105.2307,39.7058,1000,1,1,1744455996,1744455996,0
LTE,314,350,1,36421232,0,-94.2641,38.3212,1000,1,1,1744683599,1744683599,0
LTE,314,30,1,137248782,0,-94.6806,39.0815,1000,1,1,1748216905,1748216905,0
LTE,314,400,23,102601220,0,-89.7641,30.6857,1000,1,1,1749063951,1749063951,0
LTE,314,400,23,102601219,0,-89.7743,30.6497,3292,22,1,1749063973,1778697242,0
LTE,314,400,23,102601222,0,-89.775,30.6608,2314,7,1,1749064557,1770773583,0
LTE,314,480,1,26380,-1,-104.9407,39.6099,1000,1,1,1751702031,1751702031,0
LTE,314,400,23,102620690,0,-89.7501,30.5888,8909,16,1,1752001450,1778702942,0
LTE,314,400,23,102644995,0,-89.7242,30.5702,4929,22,1,1752001462,1778703064,0
LTE,314,400,23,102620688,0,-89.7661,30.6197,5197,27,1,1752001570,1778702643,0
LTE,314,400,23,102620676,0,-89.7661,30.6244,4685,5,1,1752001720,1755031921,0
LTE,314,400,23,102601234,0,-89.7806,30.6531,1990,2,1,1752001737,1778697242,0
LTE,314,400,23,102620678,0,-89.766,30.6309,3993,2,1,1752006426,1755031981,0
LTE,314,400,23,102644998,0,-89.7062,30.5608,4113,9,1,1752006656,1778703121,0
LTE,314,400,23,102644994,0,-89.6829,30.5503,6631,13,1,1752006716,1778703181,0
LTE,314,400,23,102644997,0,-89.6692,30.5453,8047,18,1,1752006896,1778703301,0
LTE,314,400,23,102631170,0,-89.6761,30.5391,7800,9,1,1752007046,1778703421,0
LTE,314,30,1,67447358,-1,-78.7002,38.6252,27475,49,1,1754120789,1754418994,0
LTE,314,480,1,26638,-1,-104.9793,39.6187,1000,1,1,1754549856,1754549856,0
LTE,314,400,23,102645010,0,-89.724,30.5684,2213,21,1,1755032067,1778702941,0
LTE,314,480,1,26120,-1,-104.9266,38.9861,1000,1,1,1756471209,1756471209,0
LTE,314,350,1,36416879,0,-94.333,38.2575,1000,1,1,1756553547,1756553547,0
NR,314,200,1006,29337979658,-1,-74.9995,40.048,1000,6,1,1757151186,1757190430,0
NR,314,200,1006,29337734154,-1,-75.0068,40.0399,1000,6,1,1757151226,1757190430,0
NR,314,200,1006,29337913226,-1,-75.0098,40.0386,1000,6,1,1757151236,1757190430,0
